cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire
ETU,5648,ETHYLENETHIOUREE,Ethylenethiouree,96-45-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ETNUR,6601,ETHYLENEUREE,Ethyleneuree,120-93-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FIPRO01,6262,FIPRONIL DÉSULFINYL,Fipronil désulfinyl,205650-65-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FIPRO03,6261,FIPRONIL SULFIDE,Fipronil sulfide,120067-83-6,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FIPRO02,6260,FIPRONIL SULFONE,Fipronil sulfone,120068-36-2,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
OXAFLU,6863,FLUFÉNACET OXA,Flufénacet OXA,201668-31-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HEPE,1198,HEPTACHLORE ÉPOXYDE,Heptachlore époxyde,,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HEPEC,1748,HEPTACHLORE ÉPOXYDE CIS,Heptachlore époxyde cis,1024-57-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,0.03,,,,,
HEPET,1749,HEPTACHLORE ÉPOXYDE TRANS,Heptachlore époxyde trans,28044-83-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
3HXC,1805,HYDROXYCARBOFURAN-3,Hydroxycarbofuran-3,16655-82-6,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TBZH,1954,HYDROXYTERBUTHYLAZINE,Hydroxyterbuthylazine,66753-07-09,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MALAOX,5787,MALAOXON,Malaoxon,1634-78-2,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MESUO,1803,METHIOCARB SULFONE,Methiocarb sulfone,2179-25-1,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MESUY,1804,METHIOCARB SULFOXYDE,Methiocarb sulfoxyde,2635-10-1,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CARB3M,8769,METHYL-3-HYDROXYLPHENYLCARBAMATE,Methyl-3-hydroxylphenylcarbamate,13683-89-1,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MTC3577,7731,MÉTOLACHLORE MÉTABOLITE CGA 357704,Métolachlore métabolite CGA 357704,1217465-10-5,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MTC3682,7730,MÉTOLACHLORE MÉTABOLITE CGA 368208,Métolachlore métabolite CGA 368208,1173021-76-5,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DMST,6824,"N,N-DIMET-TOLYLSULPHAMID","N,N-Dimet-tolylsulphamid",66840-71-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DMSA,7618,"N,N-DIMÉTHYL-N'-PHÉNYLSULFAMIDE","N,N-diméthyl-N'-phénylsulfamide",4710-17-2,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
OCHA,1848,OXYCHLORDANE,Oxychlordane,27304-13-8,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PARAOX,5806,PARAOXON,Paraoxon,311-45-5,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PARM,5793,PARAOXON MÉTHYL,Paraoxon méthyl,950-35-6,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
12345CB,1888,PENTACHLOROBENZÈNE,Pentachlorobenzène,608-93-5,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PHRTS,7149,PHORATE SULFONE,Phorate Sulfone,2588-04-07,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PHTHA,7587,PHTHALIMIDE,Phthalimide,85-41-6,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PIFODM,5532,PIRIMICARB FORMAMIDO DESMÉTHYL,Pirimicarb formamido desméthyl,27218-04-08,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PPCHL_E,6887,PROPACHLORE ESA,Propachlore ESA,123732-85-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PPCHL_O,7736,PROPACHLORE OXA,Propachlore OXA,70628-36-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRP2H,5968,PROPAZINE 2-HYDROXY,Propazine 2-hydroxy,7374-53-0,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PTU,6214,PROPYLENE THIOUREE,Propylene thiouree,2122-19-2,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRODES,7936,PROTHIOCONAZOLE-DESTHIO,Prothioconazole-Desthio,120983-64-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ACETSAA,7718,SAA ACÉTOCHLORE,SAA Acétochlore,618113-86-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SBAZ2H,6101,SEBUTHYLAZINE 2-HYDROXY,Sebuthylazine 2-hydroxy,33124-61-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SEBUT2H,5981,SEBUTHYLAZINE DÉSÉTHYL,Sebuthylazine déséthyl,37019-18-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SHYD,1831,SIMAZINE HYDROXY,Simazine hydroxy,2599-11-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,2,,,,,
DD_S2,7146,"SOMME DDD44',DDE44',DDT24',DDT44'","Somme DDD44',DDE44',DDT24',DDT44'",,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DITHIO1,6235,SOMME MÉTABOLITES DITHIOCARBAMATES,Somme métabolites Dithiocarbamates,,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TBZDES,2045,TERBUTHYLAZIN DÉSÉTHYL,Terbuthylazin déséthyl,30125-63-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,12,,,,,
TBZDESH,7150,TERBUTHYLAZIN DÉSÉTHYL-2-HYDROXY,Terbuthylazin déséthyl-2-hydroxy,66753-06-08,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TBZLM6,,TERBUTHYLAZINE MÉTABOLITE LM6,Terbuthylazine métabolite LM6,,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
THPL,7588,TÉTRAHYDROPHTHALIMIDE,Tétrahydrophthalimide,85-40-5,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TSON,5476,THIOFANOX SULFONE,Thiofanox sulfone,39184-59-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TSXY,5475,THIOFANOX SULFOXYDE,Thiofanox sulfoxyde,39184-27-5,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRAZ2H,6102,TRIETAZINE 2-HYDROXY,Trietazine 2-hydroxy,13532-25-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRAZDE,5971,TRIETAZINE DESETHYL,Trietazine desethyl,38902-68-0,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DDVP,1170,DICHLORVOS,Dichlorvos,62-73-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,0.24,,,,,
DIAZ,1157,DIAZINON,Diazinon,333-41-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,0.6,,,,,
CYANZ,1137,CYANAZINE,Cyanazine,21725-46-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,0.6,,,,,
SCT,1662,SULCOTRIONE,Sulcotrione,99105-77-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,0.9,,,,,
CFVP,1464,CHLORFENVINPHOS,Chlorfenvinphos,470-90-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,1.5,,,,,
CYM,1139,CYMOXANIL,Cymoxanil,57966-95-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,1.5,,,,,
KEPONE,1866,CHLORDÉCONE,Chlordécone,143-50-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,1.5,,,,,
SMZ,1263,SIMAZINE,Simazine,122-34-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,2,,,,,
MCPA,1212,"2,4-MCPA","2,4-MCPA",94-74-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,2,,,,,
HCHG,1203,HCH GAMMA (LINDANE),HCH gamma (lindane),58-89-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,2,,,,,
TERBU,1269,TERBUTRYNE,Terbutryne,886-50-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,3,,,,,
AMNTZ,1105,AMINOTRIAZOLE,Aminotriazole,61-82-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,3,,,,,
CARBR,1130,CARBOFURAN,Carbofuran,1563-66-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,3,,,,,
DSEB,1491,DINOSEB,Dinoseb,88-85-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,3,,,,,
FSLZ,1194,FLUSILAZOL,Flusilazol,85509-19-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,3,,,,,
MTHION,1217,MÉTHIDATHION,Méthidathion,950-37-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,3,,,,,
TBZ,1268,TERBUTHYLAZIN,Terbuthylazin,5915-41-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,4.9,,,,,
DIQDBMD,7142,DIQUAT DIBROMIDE,Diquat dibromide,85-00-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,6,,,,,
FOMESAF,2075,FOMESAFEN,Fomesafen,72178-02-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,7.5,,,,,
ISP,1208,ISOPROTURON,Isoproturon,34123-59-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,9,,,,,
FPPMP,1189,FENPROPIMORPHE,Fenpropimorphe,67564-91-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,9,,,,,
LNR,1209,LINURON,Linuron,330-55-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,9,,,,,
PARTHM,1233,PARATHION MÉTHYL,Parathion méthyl,298-00-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,9,,,,,
MLNR,1227,MONOLINURON,Monolinuron,1746-81-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,9,,,,,
MCPP,1539,FÉNOPROP,Fénoprop,93-72-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,9,,,,,
MTC,1221,MÉTOLACHLORE,Métolachlore,51218-45-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,10,,,,,
ACETOCH,1903,ACÉTOCHLORE,Acétochlore,34256-82-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,10,,,,,
FNP,1214,MÉCOPROP,Mécoprop,93-65-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,10,,,,,
OXDZ,1667,OXADIAZON,Oxadiazon,19666-30-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,10.8,,,,,
PSFC,1092,PROSULFOCARBE,Prosulfocarbe,52888-80-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,11,,,,,
GFST,1526,GLUFOSINATE,Glufosinate,51276-47-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,11,,,,,
PROM,1254,PROMÉTHRINE,Prométhrine,7287-19-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,12,,,,,
GFSTNH3,2731,GLUFOSINATE-AMMONIUM,Glufosinate-ammonium,77182-82-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,13,,,,,
FLUTHI,1940,FLUFENACET,Flufenacet,142459-58-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,15,,,,,
IOXY,1205,IOXYNIL,Ioxynil,1689-83-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,15,,,,,
HXCZ,1405,HEXACONAZOLE,Hexaconazole,79983-71-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,15,,,,,
PRQT,1522,PARAQUAT,Paraquat,4685-14-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,15,,,,,
DIU,1177,DIURON,Diuron,330-54-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,21,,,,,
THISUME,1913,THIFENSULFURON MÉTHYL,Thifensulfuron méthyl,79277-27-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,22,,,,,
MESOTRI,2076,MÉSOTRIONE,Mésotrione,104206-82-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,22,,,,,
MTBR,1515,MÉTOBROMURON,Métobromuron,3060-89-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,24,,,,,
DCAMB,1480,DICAMBA,Dicamba,1918-00-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,28,,,,,
CTOL,1136,CHLORTOLURON,Chlortoluron,15545-48-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,30,,,,,
24D,1141,"2,4-D","2,4-D",94-75-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,30,,,,,
CLMPE,1083,CHLORPYRIPHOS ÉTHYL,Chlorpyriphos éthyl,2921-88-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,30,,,,,
TRBNURO,2064,TRIBENURON-MÉTHYLE,Tribenuron-méthyle,101200-48-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,30,,,,,
DICHLB,1679,DICHLOBÉNIL,Dichlobénil,1194-65-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,30,,,,,
BMUCON,1860,BROMUCONAZOLE,Bromuconazole,116255-48-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,30,,,,,
DITHIAN,1966,DITHIANON,Dithianon,3347-22-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,30,,,,,
VCLZ,1291,VINCHLOZOLINE,Vinchlozoline,50471-44-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,30,,,,,
THIR,1718,THIRAME,Thirame,137-26-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,30,,,,,
MTBZ,1225,MÉTRIBUZINE,Métribuzine,21087-64-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,40,,,,,
FLAZASU,1939,FLAZASULFURON,Flazasulfuron,104040-78-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,40,,,,,
FLUXA,7342,FLUXAPYROXAD,Fluxapyroxad,907204-31-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,44,,,,,
CLTHAL,1473,CHLOROTHALONIL,Chlorothalonil,1897-45-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,45,,,,,
FPRO,1700,FENPROPIDIN,Fenpropidin,67306-00-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,51,,,,,
ATRZ,1107,ATRAZINE,Atrazine,1912-24-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,60,,,,,
PROP,1256,PROPAZINE,Propazine,139-40-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,60,,,,,
DMTH,1678,DIMÉTHÉNAMIDE,Diméthénamide,87674-68-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,60,,,,,
CBDZ,1129,CARBENDAZIME,Carbendazime,10605-21-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,60,,,,,
METACET,1796,MÉTALDÉHYDE,Métaldéhyde,108-62-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,60,,,,,
NFZ,1669,NORFLURAZON,Norflurazon,27314-13-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,60,,,,,
PROSULF,2534,PROSULFURON,Prosulfuron,94125-34-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,60,,,,,
ISOXAFL,1945,ISOXAFLUTOLE,Isoxaflutole,141112-29-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,60,,,,,
PPX,1535,PROPOXUR,Propoxur,114-26-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,60,,,,,
DMTHP,5617,DIMETHENAMIDE-P,Dimethenamide-p,163515-14-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,60,,,,,
DAL_SPD,2094,DALAPON SPD,Dalapon spd,75-99-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,66,,,,,
DALAPON,2094,DALAPON 85,Dalapon 85,75-99-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,66,,,,,
CHLOMEQ,2097,CHLOROMÉQUAT CHLORURE (UTILISER CLM,Chloroméquat chlorure (utiliser CLMQ),999-81-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,68,,,,,
THBZ,1713,THIABENDAZOLE,Thiabendazole,148-79-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,73,,,,,
IMAZ,1704,IMAZALILE,Imazalile,35554-44-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,75,,,,,
FCLRD,1675,FLUROCHLORIDONE,Flurochloridone,61213-25-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,89,,,,,
TBCZ,1694,TÉBUCONAZOLE,Tébuconazole,107534-96-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,90,,,,,
PMPA,1359,CYPRODINIL,Cyprodinil,121552-61-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,90,,,,,
MALTH,1210,MALATHION,Malathion,121-75-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,90,,,,,
FENAMID,2057,FÉNAMIDONE,Fénamidone,161326-34-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,90,,,,,
PYRD,1259,PYRIDATE,Pyridate,55512-33-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,108,,,,,
PRPZ,1414,PROPYZAMIDE,Propyzamide,23950-58-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,110,,,,,
DCP,1169,DICHLORPROP,Dichlorprop,120-36-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,110,,,,,
PPCNZ,1257,PROPICONAZOLE,Propiconazole,60207-90-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,120,,,,,
BOSCALI,5526,BOSCALID,Boscalid,188425-85-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,120,,,,,
DMTM,1403,DIMÉTHOMORPHE,Diméthomorphe,110488-70-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,150,,,,,
IMIDA,1877,IMIDACLOPRIDE,Imidaclopride,138261-41-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,180,,,,,
CBTM,1333,CARBÉTAMIDE,Carbétamide,16118-49-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,180,,,,,
IMAT,1695,IMAZAMÉTHABENZ,Imazaméthabenz,100728-84-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,180,,,,,
FLUTO,2985,FLUTOLANIL,Flutolanil,66332-96-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,200,,,,,
DIMEFUR,1870,DIMÉFURON,Diméfuron,34205-21-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,210,,,,,
