cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie
DCFT,1159.0,DICHLOFENTHION,Dichlofenthion,97-17-6,pesticides
PNCB,1538.0,QUINTOZÈNE,Quintozène,82-68-8,pesticides
QUIZOET,2070.0,QUIZALOFOP ÉTHYLE,Quizalofop éthyle,76578-14-8,pesticides
TRIAZ,2990.0,TRIAZOXIDE,Triazoxide,72459-58-6,pesticides
34DCPA,1532.0,PROPANIL,Propanil,709-98-8,pesticides
INDOXAC,5483.0,INDOXACARBE,Indoxacarbe,173584-44-6,pesticides
TRZAMAT,1901.0,TRIAZAMATE,Triazamate,112143-82-5,pesticides
PYRIDAB,1890.0,PYRIDABÈNE,Pyridabène,96489-71-3,pesticides
DIPHAM,5478.0,DIPHENYLAMINE,Diphenylamine,122-39-4,pesticides
DTFC,1402.0,DIETHOFENCARBE,Diethofencarbe,87130-20-9,pesticides
CHINOME,1865.0,CHINOMÉTHIONATE,Chinométhionate,02/01/2439,pesticides
DCHLOPH,2981.0,DICHOROPHÈNE,Dichorophène,97-23-4,pesticides
SPINO,5610.0,SPINOSAD,Spinosad,168316-95-8,pesticides
THIOBEN,1764.0,THIOBENCARDE,Thiobencarde,28249-77-6,pesticides
PPMD,1238.0,PHOSPHAMIDON,Phosphamidon,13171-21-6,pesticides
BEND,1329.0,BENDIOCARBE,Bendiocarbe,22781-23-3,pesticides
CYFLU,7748.0,CYFLUFENAMIDE,Cyflufenamide,180409-60-3,pesticides
NUARIMO,1883.0,NUARIMOL,Nuarimol,63284-71-9,pesticides
FLURIDO,1974.0,FLURIDONE,Fluridone,59756-60-4,pesticides
FAMOXAD,2020.0,FAMOXADONE,Famoxadone,131807-57-3,pesticides
TRIFORI,1802.0,TRIFORINE,Triforine,26644-46-2,pesticides
FURALAX,1908.0,FURALAXYL,Furalaxyl,57646-30-7,pesticides
TMT,2071.0,THIOMÉTON,Thiométon,640-15-3,pesticides
IOXYOCT,1942.0,IOXYNIL OCTANOATE,Ioxynil octanoate,3861-47-0,pesticides
PMPT,1260.0,PYRIMIPHOS ÉTHYL,Pyrimiphos éthyl,23505-41-1,pesticides
DCPADH,2966.0,CHLORTHAL-DIMÉTHYL,Chlorthal-diméthyl,1861-32-1,pesticides
SPITET,7506.0,SPIROTETRAMAT,Spirotetramat,203313-25-1,pesticides
AZIMSUL,2937.0,AZIMSULFURON,Azimsulfuron,120162-55-2,pesticides
TBIL,1659.0,TERBACILE,Terbacile,5902-51-2,pesticides
MVPH,1226.0,MÉVINPHOS,Mévinphos,7786-34-7,pesticides
DLL,1156.0,DIALLATE,Diallate,2303-16-4,pesticides
BRPH,1124.0,BROMOPHOS MÉTHYL,Bromophos méthyl,2104-96-3,pesticides
CAPT,1128.0,CAPTANE,Captane,0133-06-02,pesticides
PENOXU,6394.0,PENOXSULAM,Penoxsulam,219714-96-2,pesticides
DSYST,1492.0,DISYSTON,Disyston,0298-04-04,pesticides
PHOSMET,1971.0,PHOSMET,Phosmet,0732-11-6,pesticides
PHENM,1236.0,PHENMÉDIPHAME,Phenmédiphame,13684-63-4,pesticides
DNOCP,5619.0,DINOCAP,Dinocap,39300-45-3,pesticides
AZIN,1111.0,AZINPHOS MÉTHYL,Azinphos méthyl,86-50-0,pesticides
DMTSM,1153.0,DEMETON S MÉTHYL,Demeton S méthyl,919-86-8,pesticides
TRCYCLA,2898.0,TRICYCLAZOLE,Tricyclazole,41814-78-2,pesticides
UNCAZ,7482.0,UNICONAZOLE,Uniconazole,83657-22-1,pesticides
ETOF,5624.0,ETOFENPROX,Etofenprox,80844-07-01,pesticides
FENCL,1186.0,FENCHLORPHOS,Fenchlorphos,299-84-3,pesticides
PZP,1258.0,PYRAZOPHOS,Pyrazophos,13457-18-6,pesticides
DIMOX,5748.0,DIMOXYSTROBINE,Dimoxystrobine,149961-52-4,pesticides
IMAZAQU,2860.0,IMIZAQUINE,Imizaquine,81335-37-7,pesticides
FLURPRI,2024.0,FLURPRIMIDOL,Flurprimidol,56425-91-3,pesticides
TBZMETA,6283.0,TERBUTHYLAZIN ET SES MÉTABOLITES,Terbuthylazin et ses métabolites,,pesticides
SMETOLA,2974.0,S-MÉTOLACHLORE,S-Métolachlore,,pesticides
PICONA,5665.0,PICOLINAFEN,Picolinafen,137641-05-5,pesticides
MCPP,1539.0,FÉNOPROP,Fénoprop,93-72-1,pesticides
AZAMETI,2015.0,AZAMÉTIPHOS,Azamétiphos,35575-96-3,pesticides
SILTF,5609.0,SILTHIOFAM,Silthiofam,175217-20-6,pesticides
PYRD,1259.0,PYRIDATE,Pyridate,55512-33-9,pesticides
BRMTH,1502.0,BIORESMETHRINE,Bioresmethrine,28434-01-07,pesticides
BROMOE,1123.0,BROMOPHOS ÉTHYL,Bromophos éthyl,4824-78-6,pesticides
PPTP,1533.0,PROPÉTAMPHOS,Propétamphos,31218-83-4,pesticides
EPTC,1182.0,EPTC,EPTC,759-94-4,pesticides
PHRT,1525.0,PHORATE,Phorate,0298-02-02,pesticides
LFLAM,1840.0,FLAMPROP-ISOPROPYL,Flamprop-isopropyl,52756-22-6,pesticides
IPCONA,7508.0,IPCONAZOLE,Ipconazole,125225-28-7,pesticides
HALOXYR,1909.0,HALOXYFOP-MÉTHYL (R),Haloxyfop-méthyl (R),72619-32-0,pesticides
TLFND,1719.0,TOLYLFLUANIDE,Tolylfluanide,731-27-1,pesticides
IOXYM,2871.0,IOXYNIL-MÉTHYL,Ioxynil-méthyl,3336-40-1,pesticides
CLMP,1134.0,CHLORMÉPHOS,Chlorméphos,24934-91-6,pesticides
DICOUM,2982.0,DIFENACOUM,Difenacoum,56073-07-05,pesticides
COUMATE,2019.0,COUMATÉTRALYL,Coumatétralyl,5836-29-3,pesticides
PPHM,1534.0,PROPHAME,Prophame,122-42-9,pesticides
COUMAF,2972.0,COUMAFÈNE,Coumafène,81-81-2,pesticides
TRZPH,1657.0,TRIAZOPHOS,Triazophos,24017-47-8,pesticides
DILONE,2983.0,DIFETHIALONE,Difethialone,104653-34-1,pesticides
HEPTENO,1910.0,HEPTÉNOPHOS,Hepténophos,23560-59-0,pesticides
DCPP,2544.0,DICHLORPROP-P,Dichlorprop-P,15165-67-0,pesticides
ISOXADI,2807.0,ISOXADIFEN-ÉTHYLE,Isoxadifen-éthyle,163520-33-0,pesticides
OFURACE,2027.0,OFURACE,Ofurace,58810-48-3,pesticides
TTDIFON,1900.0,TETRADIFON,Tetradifon,116-29-0,pesticides
MEPRONI,1878.0,MÉPRONIL,Mépronil,55814-41-0,pesticides
PYRPF,5499.0,PYRIPROXYFEN,Pyriproxyfen,95737-68-1,pesticides
FURATHI,2567.0,FURATHIOCARBE,Furathiocarbe,65907-30-4,pesticides
OXDG,2068.0,OXADIARGYL,Oxadiargyl,39807-15-3,pesticides
ISPV,1829.0,ISOFENVOS,Isofenvos,25311-71-1,pesticides
LUFENUR,2026.0,LUFÉNURON,Lufénuron,103055-07-8,pesticides
BUPROFZ,1862.0,BUPROFÉZINE,Buprofézine,69327-76-0,pesticides
COUM,1682.0,COUMAPHOS,Coumaphos,56-72-4,pesticides
IODOFEN,2025.0,IODOFENPHOS,Iodofenphos,18181-70-9,pesticides
PPCBS,5602.0,PROPOXYCARBAZONE-SODIUM,Propoxycarbazone-sodium,181274-15-7,pesticides
CBPT,1131.0,CARBOPHÉNOTION,Carbophénotion,786-19-6,pesticides
FVAL,1701.0,FENVALÉRATE,Fenvalérate,51630-58-1,pesticides
TEDP,1894.0,SULFOTEPP,Sulfotepp,3689-24-5,pesticides
PROFENO,1889.0,PROFÉNOFOS,Profénofos,41198-08-07,pesticides
FLUAZPB,1404.0,FLUAZIFOP-P-BUTYL,Fluazifop-P-butyl,79241-46-6,pesticides
NITROF,1229.0,NITROFÈNE,Nitrofène,1836-75-5,pesticides
FENOB,5763.0,FENOBUCARBE,Fenobucarbe,3766-81-2,pesticides
CHLFLUA,2950.0,CHLORFLUAZURON,Chlorfluazuron,71422-67-8,pesticides
METIL,1698.0,DIMÉTILAN,Dimétilan,644-64-4,pesticides
ROTENON,2029.0,ROTÉNONE,Roténone,83-79-4,pesticides
ETHIOPH,1874.0,ETHIOPHENCARBE,Ethiophencarbe,29973-13-5,pesticides
CINOSUL,5481.0,CINOSULFURON,Cinosulfuron,94593-91-6,pesticides
ETXSUL,5527.0,ETHOXYSULFURON,Ethoxysulfuron,126801-58-9,pesticides
BENSULH,5512.0,BENSULFURON-METHYL,Bensulfuron-methyl,83055-99-6,pesticides
AMITZ,1308.0,AMITRAZE,Amitraze,33089-61-1,pesticides
643PYRD,6358.0,PYRIDAFOL,Pyridafol,40020-01-07,pesticides
DIFXUR,5524.0,DIFENOXURON,Difenoxuron,14214-32-5,pesticides
MEFLUID,2568.0,MÉFLUIDIDE,Méfluidide,53780-34-0,pesticides
SEDAX,7724.0,SEDAXANE,Sedaxane,874967-67-6,pesticides
SFOMTH,5507.0,SULFOMETHURON-METHYL,Sulfomethuron-methyl,74222-97-2,pesticides
CLRMTH,5522.0,CHLORIMURON-ETHYL,Chlorimuron-ethyl,90982-32-4,pesticides
PYRAZET,6386.0,PYRAZOSULFURON ÉTHYL,Pyrazosulfuron éthyl,93697-74-6,pesticides
DAIMURO,5930.0,DAIMURON,Daimuron,42609-52-9,pesticides
ETHAMH,5529.0,ETHAMETSULFURON-METHYL,Ethametsulfuron-methyl,97780-06-08,pesticides
HASULM,5508.0,HALOSULFURON-METHYL,Halosulfuron-methyl,100784-20-1,pesticides
OXSULFH,5510.0,OXASULFURON,Oxasulfuron,144651-06-9,pesticides
FCLURO,5969.0,FORCHLORFENURON,Forchlorfenuron,68157-60-8,pesticides
IMBCAZ,7510.0,IMIBENCONAZOLE,Imibenconazole,86598-92-7,pesticides
ETRIM,5760.0,ETRIMFOS,Etrimfos,38260-54-7,pesticides
CHLORB,1336.0,CHLORBUFAME,Chlorbufame,1967-16-4,pesticides
ACP,1100.0,ACÉPHATE,Acéphate,30560-19-1,pesticides
METHACR,5792.0,MÉTHACRIFOS,Méthacrifos,62610-77-9,pesticides
PYRAZXF,6530.0,PYRAZOXYFEN,Pyrazoxyfen,71561-11-0,pesticides
IMAZAQU,2860.0,IMAZAQUINE,Imazaquine,81335-37-7,pesticides
ASM,5581.0,ACIBENZOLAR S MÉTHYL,Acibenzolar s méthyl,135158-54-2,pesticides
MTHDP,1671.0,MÉTHAMIDOPHOS,Méthamidophos,10265-92-6,pesticides
MCPPP,2084.0,MÉCOPROP-P,Mécoprop-p,16484-77-8,pesticides
ABATE,1898.0,TÉMÉPHOS,Téméphos,3383-96-8,pesticides
SPINOA,7438.0,SPINOSYNE A,Spinosyne A,131929-60-7,pesticides
SPINOD,7439.0,SPINOSYNE D,Spinosyne D,131929-63-0,pesticides
DAMZD,5597.0,DAMINOZIDE,Daminozide,1596-84-5,pesticides
BCYFLTH,3209.0,BETACYFLUTHRINE,Betacyfluthrine,68359-37-5,pesticides
PHENTHO,5813.0,PHENTOATE,Phentoate,07/03/2597,pesticides
QUINO,7723.0,QUINOCLAMINE,Quinoclamine,2797-51-5,pesticides
CPT,1127.0,CAPTAFOL,Captafol,01/06/2425,pesticides
AZODRIN,1880.0,MONOCROTOPHOS,Monocrotophos,6923-22-4,pesticides
ATRATN,5698.0,ATRATON,Atraton,1610-17-9,pesticides
TOLM,5675.0,TOLCLOFOS-METHYL,Tolclofos-methyl,57018-04-09,pesticides
CLTHIO,5723.0,CHLORTHIOPHOS,Chlorthiophos,60238-56-4,pesticides
DODINE,2933.0,DODINE,Dodine,03/10/2439,pesticides
MTFEN,5511.0,METHOXYFENOSIDE,Methoxyfenoside,161050-58-4,pesticides
BENSLD,6595.0,BENSULIDE,Bensulide,741-58-2,pesticides
PRETILA,1949.0,PRETILACHLORE,Pretilachlore,51218-49-6,pesticides
24DIE,2872.0,"2,4-D-ISOPROPYL ESTER","2,4-D-isopropyl ester",94-11-1,pesticides
AMETO,7842.0,AMETOCTRADINE,Ametoctradine,865318-97-4,pesticides
BRPPL,1685.0,BROMOPROPYLATE,Bromopropylate,18181-80-1,pesticides
DIOXA,5743.0,DIOXACARBE,Dioxacarbe,6988-21-2,pesticides
PROQUI,7422.0,PROQUINAZID,Proquinazid,189278-12-4,pesticides
DEHAME,2980.0,DESMEDIPHAME,Desmediphame,13684-56-5,pesticides
FLAMPM,6539.0,FLAMPROP-MÉTHYL,Flamprop-méthyl,52756-25-9,pesticides
MIR,5438.0,MIREX,Mirex,2385-85-5,pesticides
ATRZMET,6282.0,ATRAZINE ET SES MÉTABOLITES,Atrazine et ses métabolites,,pesticides
ISAZO,1976.0,ISAZOPHOS,Isazophos,42509-80-8,pesticides
TCBAZ,5922.0,TIOCARBAZIL,Tiocarbazil,36756-79-3,pesticides
PROME,1710.0,PROMÉCARBE,Promécarbe,2631-37-0,pesticides
HYMEX,5646.0,HYMEXAZOL,Hymexazol,10004-44-1,pesticides
AMINP,7580.0,AMINOPYRALID,Aminopyralid,150114-71-9,pesticides
CLRNB,1341.0,CHLORONEB,Chloroneb,2675-77-6,pesticides
DICRO,5525.0,DICROTOPHOS,Dicrotophos,141-66-2,pesticides
BUTIL,7038.0,BUTILATE,Butilate,2008-41-5,pesticides
CYCLOA,5568.0,CYCLOATE,Cycloate,1134-23-2,pesticides
PIPERO,5819.0,PIPEROPHOS,Piperophos,24151-93-7,pesticides
ANILO,6594.0,ANILOPHOS,Anilophos,64249-01-0,pesticides
PYDAP,5606.0,PYRIDAPHENTHION,Pyridaphenthion,119-12-0,pesticides
THIR,1718.0,THIRAME,Thirame,137-26-8,pesticides
ISOPC,5781.0,ISOPROCARB,Isoprocarb,2631-40-5,pesticides
CYHABU,5569.0,CYHALOFOP BUTYL,Cyhalofop butyl,122008-85-9,pesticides
BENVCI,7460.0,BENTHIAVALICARBE-ISOPROPYL,Benthiavalicarbe-isopropyl,177406-68-7,pesticides
ZCYINE,7521.0,ZETACYPERMETHRINE,Zetacypermethrine,97955-44-7,pesticides
NALED,1516.0,NALED,Naled,300-76-5,pesticides
DCLFNFD,1360.0,DICHLOFLUANIDE,Dichlofluanide,1085-98-9,pesticides
PYRETHR,2062.0,PYRÉTHRINE,Pyréthrine,8003-34-7,pesticides
QUIZPE,6637.0,QUIZALOFOP-P-ÉTHYL,Quizalofop-p-éthyl,100646-51-3,pesticides
METALM,2987.0,MÉFÉNOXAM,Méfénoxam,70630-17-0,pesticides
AMINC,5523.0,AMINOCARBE,Aminocarbe,2032-59-9,pesticides
CLAN,1132.0,CHLORDANE,Chlordane,57-74-9,pesticides
TRIMC,5695.0,TRIMETHACARBE,Trimethacarbe,2686-99-9,pesticides
FNFS,1499.0,PHÉNAMIPHOS,Phénamiphos,22224-92-6,pesticides
MCP244,2751.0,"MCPP-2,4,4-TRIMETHYLPENTYL ESTER","MCPP-2,4,4-trimethylpentyl ester",217487-13-3,pesticides
MCP2OE,2754.0,MCPP-2 OTYL ESTER,MCPP-2 otyl ester,28473-03-02,pesticides
MCPA1B,2745.0,MCPA-1-BUTYL ESTER,MCPA-1-butyl ester,1713-12-8,pesticides
MCP2EE,2753.0,MCPP- 2-ETHYLHEXYL ESTER,MCPP- 2-ethylhexyl ester,71526-69-7,pesticides
MCP2BE,2752.0,MCPP-2-BUTOXYETHYL ESTER,MCPP-2-butoxyethyl ester,23359-62-8,pesticides
MCPNIB,2870.0,MECOPROP-N/ISO-BUTYL ESTER (MÉLANGE),Mecoprop-n/iso-butyl ester (mélange),,pesticides
MCPME,2755.0,MCPP-METHYL ESTER,MCPP-methyl ester,2786-19-8,pesticides
PYCL,6611.0,PYRACLOFOS,Pyraclofos,77458-01-06,pesticides
FENIS,5627.0,FENIZON,Fenizon,80-38-6,pesticides
EPN,1873.0,EPN,EPN,2104-64-5,pesticides
PYFE,5509.0,PYRAFLUFEN ÉTHYL,Pyraflufen éthyl,129630-19-9,pesticides
ABAMECT,2007.0,ABAMECTIN,Abamectin,71751-41-2,pesticides
VALIF,8045.0,VALIFENALATE,Valifenalate,283159-90-0,pesticides
FENOT,5970.0,FENOTHIOCARBE,Fenothiocarbe,62850-32-2,pesticides
PRXP,7442.0,PROXIMPHAN,Proximphan,2828-42-4,pesticides
DIMEP,7142.0,DIMÉPIPÉRATE,Dimépipérate,61432-55-1,pesticides
BUTAM,5710.0,BUTAMIFOS,Butamifos,36335-67-8,pesticides
MEPHOS,5791.0,MEPHOSFOLAN,Mephosfolan,0950-10-7,pesticides
EDIF,5751.0,EDIFENPHOS,Edifenphos,17109-49-8,pesticides
PYBUT,5826.0,PYRIBUTICARB,Pyributicarb,88678-67-5,pesticides
PRPA,6964.0,PROPAPHOS,Propaphos,7292-16-2,pesticides
DIMET,6972.0,DIMÉTHYLVINPHOS,Diméthylvinphos,2274-67-1,pesticides
FAMP,5761.0,FAMPHUR,Famphur,52-85-7,pesticides
TECNAZ,5413.0,TECNAZENE,Tecnazene,117-18-0,pesticides
TETRAS,5837.0,TETRASUL,Tetrasul,2227-13-6,pesticides
CLFSON,5553.0,CHLORFENSON,Chlorfenson,80-33-1,pesticides
FRAZ,7441.0,FURILAZOLE,Furilazole,121776-33-8,pesticides
PROFOX,8046.0,PROFOXYDIM,Profoxydim,139001-49-3,pesticides
FENAZAQ,2742.0,FÉNAZAQUIN,Fénazaquin,120928-09-8,pesticides
4C2MPH,1634.0,CHLORO-4 MÉTHYLPHÉNOL-2,Chloro-4 Méthylphénol-2,1570-64-5,pesticides
FCLAZE,7513.0,FENCHLORAZOLE ETHYL,Fenchlorazole ethyl,103112-35-2,pesticides
TCLNAT,1720.0,TRICHLORONAT,Trichloronat,327-98-0,pesticides
BUFENC,7502.0,BUFENCARBE,Bufencarbe,8065-36-9,pesticides
CRUFOM,5725.0,CRUFOMATE,Crufomate,299-86-5,pesticides
CROTOX,5724.0,CROTOXYPHOS,Crotoxyphos,7700-17-6,pesticides
SULPRO,5831.0,SULPROFOS,Sulprofos,35400-43-2,pesticides
ALLYXY,7501.0,ALLYXYCARBE,Allyxycarbe,6392-46-7,pesticides
TEBUPI,7511.0,TEBUPIRIMFOS,Tebupirimfos,96182-53-5,pesticides
MEXAC,7143.0,MEXACARBATE,Mexacarbate,315-18-4,pesticides
MCPAEE,6942.0,"2,4-D 2-ETHYLHEXYL","2,4-D 2-Ethylhexyl",1928-43-4,pesticides
MERPHO,5840.0,MERPHOS,Merphos,150-50-5,pesticides
AMIDIT,5697.0,AMIDITHION,Amidithion,919-76-6,pesticides
CYANFP,5726.0,CYANOFENPHOS,Cyanofenphos,13067-93-1,pesticides
IBP,5777.0,IPROBENFOS (IBP),Iprobenfos (IBP),26087-47-8,pesticides
AMIPRM,7516.0,AMIPROFOS-METHYL,Amiprofos-methyl,36001-88-4,pesticides
MECARB,5789.0,MECARBAM,Mecarbam,2595-54-2,pesticides
ISOXAT,5784.0,ISOXATHION,Isoxathion,18854-01-08,pesticides
SETHOX,1808.0,SETHOXYDIM,Sethoxydim,74051-80-2,pesticides
MTOLC,5796.0,METOLCARB,Metolcarb,1129-41-5,pesticides
TLINE,1658.0,TRALOMÉTHRINE,Tralométhrine,66841-25-6,pesticides
DMTHP,5617.0,DIMETHENAMIDE-P,Dimethenamide-p,163515-14-8,pesticides
PPCBS,5602.0,PROPOXYCARBAZONE,Propoxycarbazone,181274-15-7,pesticides
EMAM,8102.0,EMAMECTINE,Emamectine,119791-41-2,pesticides
MITC,2722.0,MÉTHYL ISOTHIOCYANATE,Méthyl isothiocyanate,556-61-6,pesticides
FNAP,5691.0,FÉNOXAPROP,Fénoxaprop,95617-09-07,pesticides
24DME,2873.0,"2,4-D-METHYL ESTER","2,4-D-methyl ester",1928-38-7,pesticides
DAL_SPD,2094.0,DALAPON SPD,Dalapon spd,75-99-0,pesticides
MDNOCP,1677.0,MEPTYLDINOCAP,Meptyldinocap,131-72-6,pesticides
MANC,1211.0,MANCOZÈBE,Mancozèbe,07/01/8018,pesticides
DMT,1550.0,DÉMÉTON,Déméton,8065-48-3,pesticides
KARBUT,7505.0,KARBUTILATE,Karbutilate,4849-32-5,pesticides
ISMTZN,5780.0,ISOMETHIOZIN,Isomethiozin,57052-04-07,pesticides
AZYPRO,5699.0,AZIPROTRYNE,Aziprotryne,4658-28-0,pesticides
TBUC,5835.0,TERBUCARB,Terbucarb,02/11/1918,pesticides
FENFU,1843.0,FENFURAN,Fenfuran,24691-80-3,pesticides
FORME,1703.0,FORMÉTANATE,Formétanate,22259-30-9,pesticides
SYSTOX,1150.0,DÉMÉTON-O,Déméton-O,0298-03-03,pesticides
CLOFEN,1868.0,CLOFENTÉZINE,Clofentézine,74115-24-5,pesticides
THIOPE,7514.0,THIOPHANATE ETHYL,Thiophanate ethyl,23564-06-09,pesticides
CCHOLIN,2977.0,CHLORURE DE CHOLINE,Chlorure de choline,67-48-1,pesticides
DMTS,1152.0,DÉMÉTON-S,Déméton-S,126-75-0,pesticides
MCPA2E,2748.0,MCPA-ETHYL ESTER,MCPA-ethyl ester,2698-38-6,pesticides
PRTT,5683.0,PERMÉTHRINE-TRANS,Perméthrine-trans,61949-77-7,pesticides
PRTC,5682.0,PERMÉTHRINE-CIS,Perméthrine-cis,61949-76-6,pesticides
DBCP,1479.0,"DIBROMO-1,2-CHLORO-3PROPANE","Dibromo-1,2-chloro-3propane",96-12-8,pesticides
DPLLTH,1697.0,DÉPALLETHRINE,Dépallethrine,584-79-2,pesticides
CNEB,1341.0,CHLORONEB,Chloroneb,2675-77-6,pesticides
BIFE,5545.0,BIFENAZATE,Bifenazate,149877-41-8,pesticides
BENO,1407.0,BENOMYL,Benomyl,17804-35-2,pesticides
PRIM,5488.0,PRIMISULFURON MÉTHYL,Primisulfuron méthyl,86209-51-0,pesticides
EU,5484.0,ETHYLUREE (PESTICIDE),Ethyluree (pesticide),625-52-5,pesticides
THIOCY2,7512.0,THIOCYCLAM HYDROGEN OXALATE,Thiocyclam hydrogen oxalate,31895-22-4,pesticides
FENOXP,5628.0,FENOXAPROP-P-ETHYL,Fenoxaprop-p-ethyl,71283-80-2,pesticides
HMTRIM,7585.0,HEPTAMETHYLTRISILOXANE MODIFIÉ,heptamethyltrisiloxane modifié,27306-78-1,pesticides
TMETH,5921.0,TÉTRAMÉTHRINE,Tétraméthrine,7696-12-0,pesticides
CLAQ,1758.0,CHLORDANE GAMMA,Chlordane gamma,5566-34-7,pesticides
CYTHIO,7503.0,CYTHIOATE,Cythioate,115-93-5,pesticides
BAM,7423.0,BENALAXYL-M,Benalaxyl-M,98243-83-5,pesticides
ACEQ,8047.0,ACEQUINOCYL,Acequinocyl,57960-19-7,pesticides
KEPONE,1866.0,CHLORDÉCONE,Chlordécone,143-50-0,pesticides
ETOXAZ,5625.0,ETOXAZOLE,Etoxazole,153233-91-1,pesticides
SDDTDE,6497.0,"SOMME  DDT, DDD, DDE","Somme  DDT, DDD, DDE",,pesticides
CARBOSU,1864.0,CARBOSULFAN,Carbosulfan,55285-14-8,pesticides
DDTS,3268.0,DDT SOMME,DDT somme,,pesticides
DCBUT,1904.0,DICLOBUTRAZOL,Diclobutrazol,75736-33-3,pesticides
TNC,7097.0,TRANS-NONACHLORE,Trans-nonachlore,39765-80-5,pesticides
PARATH,6947.0,PARATHIONS (ÉTHYL+MÉTHYL),Parathions (éthyl+méthyl),,pesticides
TFX,1715.0,THIOFANOX,Thiofanox,39196-18-4,pesticides
SPIDIC,8044.0,SPIRODICLOFEN,Spirodiclofen,148477-71-8,pesticides
BZDN,1607.0,BENZIDINE (PESTICIDE),Benzidine (pesticide),92-87-5,pesticides
CLTHIAM,1813.0,CHLORTHIAMIDE,Chlorthiamide,1918-13-4,pesticides
MCPAME,2749.0,MCPA-METHYL ESTER,MCPA-methyl ester,2436-73-9,pesticides
ZIRA,1722.0,ZIRAME,Zirame,137-30-4,pesticides
DITALM,5745.0,DITALIMFOS,Ditalimfos,5131-24-8,pesticides
TERBMME,6284.0,TERBUMÉTON ET SES MÉTABOLITES,Terbuméton et ses métabolites,,pesticides
MCPABE,6552.0,"2,4-D-BUTOTYL","2,4-D-butotyl",1929-73-3,pesticides
HCET,1656.0,HEXACHLOROÉTHANE (PESTICIDE),Hexachloroéthane (pesticide),67-72-1,pesticides
NPA,1937.0,NAPTALAME,Naptalame,132-66-1,pesticides
TRIADEM,1811.0,TRIDEMORPHE,Tridemorphe,81412-43-3,pesticides
SULFOSA,2077.0,SULFOSATE,Sulfosate,81591-81-3,pesticides
DALAPON,2094.0,DALAPON 85,Dalapon 85,75-99-0,pesticides
TOXAPHE,1279.0,TOXAPHÈNE,Toxaphène,8001-35-2,pesticides
BANCOL,5542.0,BENSULTAP,Bensultap,17606-31-4,pesticides
CINIDON,2938.0,CINIDON-ETHYL,Cinidon-ethyl,142891-20-1,pesticides
SPINE,8041.0,SPINETORAM,Spinetoram,935545-74-7,pesticides
SPIMES,7738.0,SPIROMESIFEN,Spiromesifen,283594-90-1,pesticides
MILB,5655.0,MILBEMECTIN,Milbemectin,51596-10-2,pesticides
ISNRRN,6597.0,ISONORURON,Isonoruron,28805-78-9,pesticides
FENP,5630.0,FENPYROXIMATE,Fenpyroximate,134098-61-6,pesticides
PHNTN,2061.0,PHENOTHRINE,Phenothrine,26002-80-2,pesticides
13DCP,1654.0,"DICHLOROPROPANE-1,3","Dichloropropane-1,3",142-28-9,pesticides
PTPD,7509.0,PENTHIOPYRAD,Penthiopyrad,183675-82-3,pesticides
FMTHN,1504.0,FORMOTHION,Formothion,2540-82-1,pesticides
PHDC,5668.0,PROHEXADIONE-CALCIUM,Prohexadione-calcium,127277-53-6,pesticides
HALM,8664.0,HALAUXIFEN-METHYL,Halauxifen-methyl,943831-98-9,pesticides
CYTP,7871.0,CYANTRANILIPROLE,Cyantraniliprole,736994-63-1,pesticides
AZA,8582.0,AZADIRACHTIN,Azadirachtin,11141-17-6,pesticides
SULFO,8786.0,SULFOXAFLOR,Sulfoxaflor,946578-00-3,pesticides
MDB,,MANDESTROBINE,Mandestrobine,173662-97-0,pesticides
OTP,7872.0,OXATHIAPIPROLIN,Oxathiapiprolin,1003318-67-9,pesticides
ISOF,,ISOFETAMID,Isofetamid,875915-78-9,pesticides
PYRF,8583.0,PYRIOFENONE,Pyriofenone,688046-61-9,pesticides
FPDF,,FLUPYRADIFURONE,Flupyradifurone,951659-40-8,pesticides
GAINE,8744.0,GAMMA CYHALOTHRINE,Gamma Cyhalothrine,76703-62-3,pesticides
DCPA,1867.0,CHLORTHAL,Chlorthal,2136-79-0,pesticides
ISCBMD,5779.0,ISOCARBAMIDE,Isocarbamide,30979-48-7,pesticides
ISCBPS,6596.0,ISOCARBOPHOS,Isocarbophos,24353-61-5,pesticides
BTCBX,7148.0,BUTOCARBOXIM,Butocarboxim,34681-10-2,pesticides
CARPRO,7147.0,CARPROPAMIDE,Carpropamide,104030-54-8,pesticides
DIPHNM,5614.0,DIPHENAMIDE,Diphenamide,957-51-7,pesticides
PYROQU,5828.0,PYROQUILON,Pyroquilon,57369-32-1,pesticides
ISPTLN,5783.0,ISOPROTHIOLANE,Isoprothiolane,50512-35-1,pesticides
PYRACA,5825.0,PYRACARBOLID,Pyracarbolid,24691-76-7,pesticides
MFTC,,MÉFENTRIFLUCONAZOLE,Méfentrifluconazole,1417782-03-6,pesticides
BRM,1530.0,BROMOMÉTHANE,Bromométhane,74-83-9,pesticides
DMTT,1869.0,DAZOMET,Dazomet,533-74-4,pesticides
MBT,2542.0,MONOBUTYLÉTAIN CATION (PESTICIDE),Monobutylétain cation (pesticide),78763-54-9,pesticides
BROD,5546.0,BRODIFACOUM,Brodifacoum,56073-10-0,pesticides
CYHAL,1138.0,CYHALOTHRINE,Cyhalothrine,68085-85-8,pesticides
